Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
RACK1.1.11;RACK1.1.12;RACK1.1.13;RACK1.1.9,1690991.8,2.9645996E7,1189901.5,270746.6,783456.3,4993441,776440.44,1.96057008E8,521819.3,2972696.2,1346344.4,1.0899897E7,412908.44,118778.64,3.0254908E7,261680.88,189490.94,1540244.5,270867.62,8235272
C3.1.11,2048997.5,2.0635372E7,5977094,1.2754818E7,2.4931316E7,6.6001773E8,1.60314112E8,5.4393075E8,1.7066112E7,1.14304504E8,3.9575184E7,1.15941261E9,2.3943512E7,2.61425632E8,1.01852424E8,4.3678479E9,1.4950492E7,1.98046672E8,9525374,1.50055398E9
CAMKV.1.3,60649.805,0,12.224849,27652.201,26934.63,0,93603.37,0,457965.97,2123.2002,0,2455.765,0,0,251096.58,0,5972.559,291.82907,150584.08,0
EFHD2.1.3,1157177.8,973210.56,2363870.5,650059.44,234800.8,194668.84,908140.5,3392676,372959.12,810768.94,2215208.2,803040.5,956555.4,380571.06,3.8543008E7,1212484.1,686642.1,989266.1,1605583.5,355525.6
FLNA.1,196902.6,622735.25,649702,752191.44,502090.53,3.3312486E7,257861.66,9721612,345426.84,4684348.5,151256.48,4.9948016E7,504322.25,1.1391511E7,538218.25,4.507584E7,229871.11,3073593.8,262139.47,1.2660032E7
WDR77.2;WDR77.4;WDR77.4.3;WDR77.4.4,118595,526456.56,298523.8,1.3191413E7,30238.422,125198.2,643130.6,1352454.4,3406352.2,1.9441358E7,366875.8,1241520.5,138114.03,164999.1,21957.133,703149.94,2075393,1838021.2,487338.75,441733.4
HADHA.1.14;HADHA.1.3,681267.5,950955.2,367261.53,484332.3,247143.16,4.7886024E7,1233973.6,1686310.9,1148011.9,4591542,470250.84,2192069.8,1572285.2,1472061.4,438060.44,6519575,752337.75,1283878.1,335102.1,4631058
STOM.3,603545.75,911837.06,551587.2,334717.97,1802215,1.4321992E7,3550881.2,1.0935873E7,3049040,3347851.2,1147090.4,1.602229E7,624326.94,2745073.2,789451,3.4707052E7,3270831,526488.9,1.5504989E7,7449182
GOT2.2;GOT2.2.4;GOT2.2.5;GOT2.2.8,2.002225E7,5087069.5,4.1417096E7,1.73449715E9,2.2445332E7,1319184.1,5.6246564E7,3368474.5,5.9809453E8,2.25767696E8,3.2121992E7,8.7630376E7,1.8203822E7,3.3067894E7,3.5973964E7,8799290,8.2279309E8,2.0327354E7,1.23305504E8,998563.1
PRKAR1A.10;PRKAR1A.10.3,574884.9,9779232,7322854,4727111.5,3391474,1.7891058E7,1950628.4,1.0595601E7,8781179,4.1789512E7,1.1593193E7,4.7331324E7,5682803.5,1.736106E7,8211977,1.403794E7,1.1335232E7,2.7263202E7,5527400,2.3970608E7
PAK2.2,212999.77,37566.566,123919.82,59231.11,484662.44,1.9728824E7,30691.004,2186262.5,126116.664,7714669,81143.625,122638.055,342323.28,98730.22,687195.94,1.3646097E7,271021.94,20472.455,2313.3162,1223353.9
NAPB.4.3,1.1847237E7,2686728.8,3087020.5,1527020.4,5556813.5,311218.47,4623873,1.7476218E7,1471186.9,694617.75,8509147,2714226.8,3921524.5,502688.75,1.5827696E8,187499.34,3305126.2,109635.664,6349844.5,291286.1
PARVA.1,37276.477,538263.06,286939.4,212767.66,179884.14,2659087.8,148194.78,2221471.2,85030.31,4536709.5,65268.754,1862770,29663.9,901080.25,56521.1,3815898.5,151597.73,2114495.2,207191.28,3114869.5
ERMN.1;ERMN.2.2;ERMN.2.3;ERMN.2.6,82590.44,92197.2,517762.25,407158.7,3939852.8,25188.107,678795,3853924.2,2.2876114E7,130164.49,1.1170144E7,3530035,8101573.5,356982.2,1.6103956E7,22019.566,1.0959173E7,276675.72,112469.61,157293.77
TUBB4B.1.5,1.4265105E7,7009745.5,1.0387615E7,8963733,2.8757066E7,3.3802852E7,6885734,7392211,3.154218E7,1.1725233E7,1.3578173E7,2060987,1.5732524E7,3392467,2.5146586E7,1.3005474E7,2.3810374E7,1095175.6,1.220208E7,1.5439631E7
GLUL.3.23;GLUL.3.33;GLUL.3.56;GLUL.3.57;GLUL.3.65;GLUL.3.80;GLUL.3.82,6446099,2059261.6,668310.75,9413886,1.3886592E7,8462511,1.421574E7,4443109,1.7273882E7,1.0500425E7,1.1896843E7,1.8182048E7,7569610,6842896,9480338,7050464.5,2.524288E7,3128395.5,5707038.5,3130605
SQSTM1.3.6;SQSTM1.3.7;SQSTM1.3.9,17618.863,150915.66,775083.7,403863.88,371889.8,8352069,238400.9,737012,418723.47,1008762,409710.5,1277641.6,443408.88,702126.44,236626.47,1543162.4,229123.25,739649.7,259719.38,2107134
FUS.1;FUS.1.3;FUS.2;FUS.2.2;FUS.2.3;FUS.2.4;FUS.2.5;FUS.3;FUS.3.3;FUS.3.4;FUS.5.3;FUS.5.5;FUS.5.8,85086.53,1767897.5,1099083.4,3279677.8,590675.1,1.3163931E7,1202482.8,4805855,1443535.8,2.2045632E7,426157.5,2711820,331582.06,2107406.5,397506.7,8516807,1176811.2,4877422,717569.06,7568587
PBX1.11;PBX1.6,0,397863.4,219.44601,558394.06,7036.724,44012.965,0,21920.145,19275.553,1807104.6,4967.364,386.3928,0,184281.38,9877.91,32801.066,29071.412,362335.56,0,314515.06
SLC39A14.13,1614.343,0,3422.9246,55488.13,1353.9493,1.0618776E7,159.1185,536179,10498.5625,871587.1,1152.0977,585851,0,337901.38,1247.3019,1.4553476E7,1025.2355,300360.84,5610.9775,1.468471E7
MYH9.1.2;MYH9.1.3,218471.8,494379.97,385612.12,269958.72,4227017,3804081.8,4507120,1082886.2,1.156929E7,412876.16,7880934.5,696239.8,2332361,521989.47,396078.38,1.1604792E7,1205863,525205.94,3348626.8,146317.58
BCAS1.9,13038.052,27804.59,690.34204,2560.3735,21051.146,29275.072,11485.208,105467.36,591935.06,0,347940.16,1065809.6,431904.34,7295.129,216858.94,0,241588.33,510.0369,11323.582,0
IGLL1.2.3,279061.3,2469589,5948092.5,3980227.5,1763290.9,1.0414622E7,1.220447E7,4.5712412E7,672641.6,1993194,5532219.5,3.009246E7,2315285.5,7973046,1.9817944E7,2.7475476E7,1702546.8,6431931,1041804.25,7651753
HIBCH.3;HIBCH.3.3;HIBCH.3.6,3.0816894E7,6439176,1.4614056E8,1.91215264E8,2.3340632E7,3.4454872E7,8.1721072E7,869291.3,8.6763656E7,2.35725872E8,3.2555972E7,2.659591E7,8.5826968E7,1.07356728E8,2.857576E7,2.827034E7,1.28952208E8,9.0257592E7,1.35648624E8,3.6232976E7
CAND1.4.2,5345694.5,3.3850212E7,1.9701236E7,1.701405E7,1.1345067E7,4.8261112E7,2.3274154E7,1.2155463E7,1.1882294E7,3.0220736E7,9248418,5046148.5,3468227.8,7139771.5,1.4698361E7,2.4327716E7,8889663,4837117,7702515.5,1.4774373E7
NAMPT.1.4,3620756.8,1093211.9,712201.2,977288.1,468246.06,4.45951936E8,3655513.8,8816662,577016.44,1508261.9,6186503,1.6508449E7,3827900.8,7874328,316147.3,1.53818832E8,1441394.9,845706.56,2064361.8,1.66228736E8
PCSK1N.1.11;PCSK1N.1.13;PCSK1N.1.17;PCSK1N.1.18;PCSK1N.1.5,3519080,106055.67,720765.9,783758.8,4365080,37135.805,8848661,82516.01,6826254,78342.19,3469515,157613.6,3178094.2,81209.53,6258012.5,14541.612,3063372.5,31401.188,2603521,2699.5405
